invoice_no,invoice_ref,amount,payment_method,balanced
E5313,,17165626.7,Due,False
E5316,,17168945.61,Due,True
E5317,,17169815.0,Due,True
E5318,,17206071.28,Advance,True
E5460,,17201786.64,Due,True
E5461,,17201787.42,Due,True
E5462,,17201787.81,Due,True
E5463,,17201789.56,Due,False
E5464,,17201803.6,Advance,True
E5465,,17201804.51,Advance,True
E5466,,17201805.81,Due,True
E5467,,17201806.1,Due,True
E5476,,17204374.53,Due,True
E5477,,17204375.43,Advance,True
E5479,,17205234.56,Due,True
E5480,,17205234.96,Due,True
E5481,,17205236.07,Advance,True
E5482,,17205237.66,Advance,True
E5483,,17205239.12,Advance,True
E5486,,17206267.37,Advance,True
E5487,,17206268.08,Due,True
E5488,,17206268.93,Due,True
E5489,,17206269.53,Due,True
E5490,,17206270.13,Due,True
E5495,,17207001.3,Due,True
E5497,,17207003.03,Due,True
E5498,,17207010.51,Due,True
E5511,,17210604.79,Advance,True
E5512,,17211259.32,Due,True
E5513,,17211260.63,Due,True
E5514,,17211263.44,Due,True
E5515,,17211267.08,Due,True
E5516,,17211272.27,Due,True
E5517,,17211279.34,Advance,True
E5518,,17211281.03,Due,True
E5519,,17211294.18,Advance,True
E5520,,17211301.63,Advance,True
E5529,,17213255.62,Due,True
E5530,,17213263.91,Advance,True
E5531,,17213264.37,Due,True
E5532,,17213267.82,Advance,True
E5533,,17213275.82,Due,True
E5534,,17213279.53,Due,True
E5536,,17213884.8,Due,True
E5537,,17213885.81,Advance,True
E5538,,17213893.11,Advance,True
E5539,,17213896.38,Due,True
E5540,,17213897.26,Due,True
E5543,,17217349.46,Advance,True
E5544,,17217352.59,Advance,True
E5545,,17217385.34,Advance,True
E5546,,17217415.08,Advance,True
E5547,,17217415.89,Due,True
E5555,,17222506.2,Advance,True
E5556,,17222508.17,Due,False
E5557,,17222524.52,Advance,True
E5558,,17222529.82,Advance,True
E5559,,17222535.13,Due,True
E5560,,17222538.6,Due,True
E5567,,17222659.65,Due,False
E5568,,17222666.12,Due,True
E5569,,17222673.41,Due,True
E5570,,17222677.25,Due,True
E5571,,17222687.6,Advance,True
E5572,,17222690.76,Advance,True
E5577,,17223404.88,Due,True
E5579,,17223531.29,Due,True
E5586,,17225921.13,Advance,True
E5587,,17225926.61,Advance,True
E5588,,17225929.79,Advance,True
E5589,,17225932.65,Due,True
E5590,,17225940.71,Due,True
E5591,,17225947.77,Advance,True
E5592,,17225955.33,Due,True
E5601,,17229539.3,Advance,True
E5604,,17232033.33,Due,True
E5605,,17232037.93,Advance,True
E5606,,17232043.72,Due,True
E5607,,17232044.25,Due,True
E5608,,17232045.39,Due,True
E5609,,17232050.4,Due,True
E5610,,17232051.95,Advance,True
E5611,,17232053.79,Due,True
E5612,,17265724.85,Due,True
E5613,,17232059.36,Due,True
E5618,,17234591.87,Due,True
E5619,,17234599.79,Advance,True
E5620,,17234606.86,Due,True
E5621,,17234607.46,Due,True
E5622,,17266995.87,Due,False
E5625,,17234619.57,Due,True
E5628,,17234624.68,Advance,True
E5629,,17234626.66,Advance,True
E5632,,17234711.83,Due,True
E5641,,17238135.71,Advance,True
E5642,,17238139.6,Due,True
E5644,,17238152.73,Due,True
E5645,,17238158.05,Due,True
E5650,,17241520.0,Advance,True
E5651,,17241532.94,Due,True
E5652,,17241538.32,Due,True
E5662,,17246730.85,Due,True
E5665,,17247611.11,Due,True
E5666,,17247630.17,Due,True
E5667,,17247641.65,Due,True
E5668,,17247649.19,Due,True
E5669,,17247655.66,Due,True
E5670,,17247672.73,Advance,True
E5671,,17247676.59,Due,True
E5672,,17247681.43,Due,True
E5674,,17247686.7,Due,True
E5679,,17249383.17,Due,True
E5680,,17249416.3,Advance,True
E5681,,17249421.87,Advance,True
E5682,,17249427.58,Due,True
E5683,,17250165.77,Advance,True
E5684,,17250173.37,Due,True
E5685,,17250209.93,Advance,True
E5697,,17253696.08,Due,True
E5701,,17253730.82,Due,True
E5702,,17255353.54,Due,True
E5703,,17255354.83,Due,True
E5704,,17255358.27,Due,True
E5705,,17255362.06,Due,True
E5710,,17255424.42,Advance,True
E5711,,17268693.06,Due,True
E5719,,17259742.62,Advance,True
E5720,,17259743.92,Due,True
E5721,,17259744.86,Due,True
E5722,,17271790.19,Due,True
E5723,,17259750.95,Due,True
E5724,,17259753.6,Due,True
E5725,,17259758.66,Due,True
E5729,,17261397.17,Due,True
E5730,,17261400.8,Advance,True
E5731,,17261402.36,Advance,True
E5732,,17261403.61,Due,True
E5734,,17261422.7,Advance,True
E5735,,17261434.2,Due,True
E5738,,17261443.36,Due,True
E5739,,17271838.91,Due,False
E5746,,17262203.54,Advance,True
E5747,,17262217.23,Advance,True
E5754,,17265787.74,Due,True
E5771,,17268348.47,Due,True
E5772,,17268351.64,Advance,True
E5773,,17268352.48,Due,False
E5774,,17268353.65,Due,True
E5776,,17268364.78,Advance,True
E5777,,17270971.33,Advance,True
E5778,,17507137.35,Due,False
E5779,,17270972.49,Advance,True
E5780,,17270973.22,Advance,True
E5781,,17270981.17,Advance,True
E5785,,17271866.54,Due,True
E5790,,17274323.61,Due,False
E5791,,17274349.14,Advance,True
E5792,,17274356.81,Due,True
E5793,,17274358.51,Advance,True
E5794,,17274360.19,Advance,True
E5795,,17274362.06,Advance,True
E5796,,17274365.08,Due,True
E5797,,17274367.74,Advance,True
E5798,,17274374.8,Advance,True
E5799,,17274378.11,Due,True
E5800,,17274380.23,Advance,True
E5801,,17274385.31,Advance,True
E5802,,17290773.36,Due,False
E5816,,17276974.23,Due,True
E5820,,17277838.66,Due,True
E5821,,17277839.8,Advance,True
E5822,,17277842.26,Due,True
E5826,,17278777.68,Advance,True
E5828,,17280392.4,Advance,True
E5829,,17280400.27,Due,True
E5830,,17280405.98,Advance,True
E5832,,17280414.24,Due,True
E5833,,17280425.65,Due,True
E5838,,17283890.42,Advance,True
E5840,,17283897.41,Advance,True
E5842,,17283947.53,Advance,True
E5843,,17283948.06,Due,True
E5844,,17283949.68,Advance,True
E5845,,17283962.33,Advance,True
E5846,,17283976.01,Due,True
E5847,,17283978.05,Due,True
E5848,,17283979.7,Due,True
E5849,,17283980.46,Due,True
E5850,,17283989.5,Due,True
E5853,,17284943.12,Advance,True
E5854,,17284945.2,Due,True
E5861,,17285723.09,Due,True
E5862,,17285730.2,Due,True
E5863,,17285735.18,Due,True
E5867,,17289052.42,Advance,True
E5868,,17289053.46,Advance,True
E5869,,17289055.18,Advance,True
E5870,,17289062.85,Advance,True
E5871,,17289063.8,Due,True
E5876,,17289139.23,Due,True
E5877,,17290038.12,Due,True
E5878,,17289920.64,Due,False
E5879,,17290778.49,Due,False
E5881,,17290757.63,Advance,True
E5891,,17292566.88,Due,True
E5897,,17295158.86,Due,True
E5898,,17295170.35,Due,True
E5899,,17295179.45,Advance,True
E5900,,17295183.28,Advance,True
E5901,,17295189.2,Due,True
E5902,,17295190.47,Due,True
E5903,,17295962.66,Due,True
E5909,,17297702.09,Advance,True
E5910,,17297706.5,Advance,True
E5911,,17297709.09,Advance,True
E5914,,17297725.6,Due,True
E5915,,17297744.37,Due,True
E5916,,17297754.17,Due,True
E5917,,17297756.68,Advance,True
E5919,,17297767.85,Due,True
E5920,,17297771.94,Due,True
E5921,,17297774.09,Advance,True
E5922,,17297775.65,Due,False
E5925,,17298078.06,Due,True
E5931,,17301177.91,Advance,True
E5934,,17301254.02,Advance,True
E5935,,17301513.8,Due,True
E5959,,17308025.36,Advance,True
E5961,,17308057.65,Due,True
E5962,,17308062.47,Advance,True
E5963,,17308064.73,Due,True
E5964,,17308067.46,Due,True
E5965,,17308070.79,Advance,True
E5966,,17308074.51,Advance,True
E5967,,17309153.83,Advance,True
E5968,,17309162.26,Due,True
E5969,,17309188.49,Due,True
E5970,,17309194.73,Due,True
E5979,,17309840.63,Advance,True
E5980,,17309857.26,Advance,True
E5981,,17309858.84,Due,True
E5982,,17309859.86,Due,True
E5983,,17309861.95,Due,True
E5984,,17309863.47,Advance,True
E5991,,17313207.18,Due,True
E5993,,17313246.43,Advance,True
E5994,,17313247.71,Due,True
E5995,,17313259.81,Due,True
E5996,,17313266.98,Advance,True
E6046,,17323601.89,Advance,True
E6052,,17326187.75,Due,True
E6053,,17326189.4,Advance,True
E6054,,17326191.31,Due,True
E6055,,17326193.83,Due,True
E6056,,17326198.29,Advance,True
E6057,,17326199.6,Due,True
E6058,,17326205.32,Due,True
E6059,,17326208.72,Due,True
E6060,,17326262.15,Due,True
E6061,,17326267.16,Due,True
E6062,,17326269.02,Advance,True
E6063,,17326271.28,Advance,True
E6064,,17326273.48,Due,True
E6073,,17327968.63,Due,True
E6074,,17327972.5,Due,True
E6075,,17327973.34,Due,True
E6077,,17327985.9,Due,True
E6078,,17328036.43,Due,True
E6079,,17328045.52,Due,True
E6080,,17328774.69,Due,True
E6081,,17328783.91,Advance,True
E6085,,17332237.44,Due,True
E6088,,17332241.78,Due,True
E6089,,17332247.18,Due,True
E6090,,17332251.19,Due,True
E6091,,17332257.03,Due,True
E6092,,17332258.87,Due,True
E6094,,17332268.08,Advance,True
E6095,,17332269.2,Advance,True
E6096,,17332274.02,Advance,True
E6097,,17332276.34,Due,True
E6098,,17332278.61,Due,True
E6104,,17333099.63,Advance,True
E6112,,17334907.22,Advance,True
E6115,,17334922.34,Due,True
E6116,,17334927.82,Due,True
E6117,,17334929.57,Advance,True
E6118,,17334930.65,Advance,True
E6119,,17334932.67,Due,True
E6120,,17334936.19,Advance,True
E6121,,17334945.34,Due,True
E6122,,17334947.23,Due,True
E6123,,17334950.42,Advance,True
E6124,,17334960.09,Due,True
E6129,,17337544.37,Advance,True
E6137,,17337605.7,Due,True
E6138,,17337608.49,Due,True
E6139,,17337612.63,Advance,True
E6140,,17338262.56,Advance,True
E6141,,17338286.08,Advance,True
E6142,,17338288.78,Advance,True
E6143,,17338289.73,Due,True
E6144,,17339247.64,Due,True
E6145,,17339250.72,Advance,True
E6156,,17339287.66,Due,True
E6160,,17340050.94,Due,True
E6161,,17340052.35,Due,True
E6162,,17340055.32,Due,True
E6172,,17341694.06,Advance,True
E6173,,17341700.76,Due,True
E6174,,17341704.72,Due,True
E6179,,17344684.73,Due,False
E6181,,17345281.29,Advance,True
E6183,,17345313.06,Advance,True
E6184,,17345315.5,Due,True
E6185,,17345319.97,Due,True
E6186,,17345327.13,Due,True
E6187,,17345322.63,Due,True
E6188,,17345326.54,Advance,True
E6189,,17345328.57,Advance,True
E6190,,17345332.25,Advance,True
E6191,,17345335.14,Advance,True
E6192,,17345337.49,Advance,True
E6208,,17346935.59,Due,True
E6209,,17346964.49,Due,True
E6213,,17347008.31,Advance,True
E6214,,17347012.78,Due,True
E6221,,17349504.83,Due,True
E6222,,17349510.55,Advance,True
E6223,,17349514.7,Due,True
E6224,,17349527.56,Due,True
E6229,,17349662.02,Due,True
E6230,,17349665.21,Due,True
E6231,,17349669.1,Due,True
E6232,,17352969.29,Advance,True
E6233,,17352971.45,Due,True
E6234,,17353081.58,Due,True
E6235,,17353084.1,Due,True
E6236,,17353084.81,Due,True
E6237,,17353086.74,Due,True
E6248,,17367778.69,Due,True
E6250,,17369410.17,Advance,True
E6251,,17369411.45,Due,True
E6252,,17369411.93,Due,True
E6253,,17369439.61,Due,True
E6254,,17369449.74,Due,True
E6255,,17369458.79,Advance,True
E6256,,17369459.99,Advance,True
E6257,,17369461.35,Advance,True
E6258,,17369461.82,Due,True
